Column,Row,Value,Rule
Employee ID,26,,expect_column_values_to_not_be_null
Employee ID,31,,expect_column_values_to_not_be_null
Hire Date,9,,expect_column_values_to_not_be_null
Hire Date,20,02/22/1998,expect_column_values_to_match_regex
Employee Type,7,Regular,expect_column_values_to_be_in_set
Employee Type,8,Regular,expect_column_values_to_be_in_set
Employee Type,9,Regular,expect_column_values_to_be_in_set
Employee Type,10,Regular,expect_column_values_to_be_in_set
Employee Type,11,Regular,expect_column_values_to_be_in_set
Employee Type,12,Regular,expect_column_values_to_be_in_set
Employee Type,13,Regular,expect_column_values_to_be_in_set
Employee Type,14,Regular,expect_column_values_to_be_in_set
Employee Type,15,Regular,expect_column_values_to_be_in_set
Employee Type,16,Regular,expect_column_values_to_be_in_set
Employee Type,17,Regular,expect_column_values_to_be_in_set
Employee Type,18,Regular,expect_column_values_to_be_in_set
Employee Type,19,Regular,expect_column_values_to_be_in_set
Employee Type,20,Regular,expect_column_values_to_be_in_set
Employee Type,21,Regular,expect_column_values_to_be_in_set
Employee Type,22,Regular,expect_column_values_to_be_in_set
Employee Type,23,Regular,expect_column_values_to_be_in_set
Employee Type,24,Regular,expect_column_values_to_be_in_set
Employee Type,25,Regular,expect_column_values_to_be_in_set
Employee Type,26,Regular,expect_column_values_to_be_in_set
Employee Type,27,Regular,expect_column_values_to_be_in_set
Employee Type,28,Regular,expect_column_values_to_be_in_set
Employee Type,29,Regular,expect_column_values_to_be_in_set
Employee Type,30,Regular,expect_column_values_to_be_in_set
Employee Type,31,Regular,expect_column_values_to_be_in_set
Employee Type,32,Regular,expect_column_values_to_be_in_set
Employee Type,33,Regular,expect_column_values_to_be_in_set
Employee Type,34,Regular,expect_column_values_to_be_in_set
Employee Type,35,Regular,expect_column_values_to_be_in_set
Employee Type,36,Regular,expect_column_values_to_be_in_set
Employee Type,37,Regular,expect_column_values_to_be_in_set
Employee Type,38,Regular,expect_column_values_to_be_in_set
Employee Type,39,Regular,expect_column_values_to_be_in_set
Employee Type,40,Regular,expect_column_values_to_be_in_set
Employee Type,41,Regular,expect_column_values_to_be_in_set
Employee Type,42,Regular,expect_column_values_to_be_in_set
Employee Type,43,Regular,expect_column_values_to_be_in_set
Employee Type,44,Regular,expect_column_values_to_be_in_set
Employee Type,45,Regular,expect_column_values_to_be_in_set
Employee Type,46,Regular,expect_column_values_to_be_in_set
Position ID,7,,expect_column_values_to_not_be_null
Position ID,8,,expect_column_values_to_not_be_null
Position ID,9,,expect_column_values_to_not_be_null
Position ID,10,,expect_column_values_to_not_be_null
Position ID,11,,expect_column_values_to_not_be_null
Position ID,12,,expect_column_values_to_not_be_null
Position ID,13,,expect_column_values_to_not_be_null
Position ID,14,,expect_column_values_to_not_be_null
Position ID,15,,expect_column_values_to_not_be_null
Position ID,16,,expect_column_values_to_not_be_null
Position ID,17,,expect_column_values_to_not_be_null
Position ID,18,,expect_column_values_to_not_be_null
Position ID,19,,expect_column_values_to_not_be_null
Position ID,20,,expect_column_values_to_not_be_null
Position ID,21,,expect_column_values_to_not_be_null
Position ID,22,,expect_column_values_to_not_be_null
Position ID,23,,expect_column_values_to_not_be_null
Position ID,24,,expect_column_values_to_not_be_null
Position ID,25,,expect_column_values_to_not_be_null
Position ID,26,,expect_column_values_to_not_be_null
Position ID,27,,expect_column_values_to_not_be_null
Position ID,28,,expect_column_values_to_not_be_null
Position ID,29,,expect_column_values_to_not_be_null
Position ID,30,,expect_column_values_to_not_be_null
Position ID,31,,expect_column_values_to_not_be_null
Position ID,32,,expect_column_values_to_not_be_null
Position ID,33,,expect_column_values_to_not_be_null
Position ID,34,,expect_column_values_to_not_be_null
Position ID,35,,expect_column_values_to_not_be_null
Position ID,36,,expect_column_values_to_not_be_null
Position ID,37,,expect_column_values_to_not_be_null
Position ID,38,,expect_column_values_to_not_be_null
Position ID,39,,expect_column_values_to_not_be_null
Position ID,40,,expect_column_values_to_not_be_null
Position ID,41,,expect_column_values_to_not_be_null
Position ID,42,,expect_column_values_to_not_be_null
Position ID,43,,expect_column_values_to_not_be_null
Position ID,44,,expect_column_values_to_not_be_null
Position ID,45,,expect_column_values_to_not_be_null
Position ID,46,,expect_column_values_to_not_be_null
